Item_No,Com_F1_PosVal,Com_F2_BroadPos,Com_F3_NegVal,Com_F4_NegPhys,Com_F5_Prog,Com_F6_PosAtt,Com_F7_Soc
137,0.974,,,,,,
24,0.909,,,,,,
81,0.908,,,,,,
211,0.897,,,,,,
231,0.883,,,,,,
246,0.877,,,,,,
53,0.859,,,,,,
262,0.854,,,,,,
110,0.849,,,,,,
230,0.845,,,,,,
52,0.822,,,,,,
25,0.82,,,,,,
166,0.809,,,,,,
165,0.805,,,,,,
189,0.784,,,,,,
138,0.779,,,,,,
229,0.755,,,,,,
82,0.743,,,,,,
54,0.741,,,,,,
164,0.73,,,,,,
188,0.714,,,,,,
136,0.706,-0.282,,,,,
80,0.705,,0.268,,,,
210,0.697,,,,,,
263,0.695,,,,,,
109,0.685,,,,,,
212,0.684,,,,,,
190,0.642,,,,,,
51,0.633,0.262,,,,,
90,0.615,,,,,,
197,0.606,,,,,,-0.267
275,0.591,,,,,,
196,0.59,,,,,,
22,0.578,0.276,,,,,
261,0.578,0.283,,,,,
135,0.572,,,,,,
163,0.566,0.302,,,,,
117,0.55,,,,,,
306,0.541,,,,,,
308,0.534,0.261,,,,,
89,0.526,,,,,,
247,0.521,,,,,,
294,0.52,0.342,,,,,
167,0.484,,,,0.253,,
108,0.484,,,,,,
23,0.477,,,,,,
116,0.461,,,,,,
239,0.459,,,,,,
151,0.452,,,,,,
33,0.447,,,-0.414,,,
312,0.443,,,,,,
7,0.432,,,,,,-0.253
310,0.432,0.309,,,,,
38,0.414,,,,,,
268,0.405,,,,,,
87,0.403,,,,,,0.28
172,0.401,,-0.301,,,,
296,0.396,0.358,0.266,,,,
67,0.393,,,,,,
95,0.391,,,,,,
61,0.377,,,,,,
187,0.375,0.362,,,,,
145,-0.365,,,,,,
107,0.359,0.305,,,,,
97,0.353,,,,,,
59,0.352,,,,,,
219,0.337,,,,,,
291,0.305,,,,,,
170,0.299,,,,,,0.296
195,0.296,,,-0.26,,,
150,0.289,,,,,,
111,0.259,,,,,,
252,0.257,,,,,,
123,0.253,,,,,,
200,,,,,,,
88,,,,,,,
217,,,,,,,
265,-0.313,0.828,,,,,
27,,0.78,,,,,
216,,0.76,,,,,
55,,0.754,,,,,
56,,0.742,,,,0.272,
277,,0.723,,,,,
168,,0.719,,,,0.255,
266,,0.695,,,,,
304,,0.688,,,,,
