Item_No,MTurk_F1_PosVal,MTurk_F2_Negval,MTurk_F3_Cog,MTurk_F4_PosAtt,MTurk_F4_Prg,MTurk_F5_Gar,MTurk_F6_Flo
265,0.809271504,,,,,,
28,0.802447859,,,,,,
27,0.788237602,,,,,,
277,0.785522458,,,,,,
112,0.784842235,,,,,,-0.273068644
180,0.774367569,,,,,,
140,0.773899352,,,,,,
57,0.760159426,,,,,,
85,0.754166823,,,,,,
98,0.751911263,,,,,,
141,0.747477012,,,,,,
232,0.746446354,,,,,,
191,0.74635481,,,,,,
169,0.740206507,,,,,,
236,0.738840094,,,,,,
86,0.734797672,,,,,,
55,0.733896974,,,,,,
216,0.732863389,,,,,,
168,0.724706439,,,,,,
84,0.717073493,,,0.332261491,,,
173,0.716483121,,,,,,
11,0.709406941,,,,,,
56,0.709171295,,,0.296366334,,,-0.266531832
248,0.704543789,,,,,,
143,0.704240139,,,,,,
113,0.704040275,,,,,,
76,0.703128921,,,,0.284630939,,
193,0.702981076,,,,,,
206,0.701395499,,,,,,
215,0.699103397,,,,,,
41,0.695884457,,,,,,
175,0.685397561,,,,,,
139,0.684676963,,,,,,
203,0.679098015,,,,,,
202,0.656331121,,,,,,
70,0.654698175,,,,,,
213,0.652445937,,,,,,
241,0.643919128,,,,,,
26,0.639573653,,,,,,
48,0.631125218,,,,0.308310574,,
266,0.626084439,,,,,,
225,0.614582753,,,,0.427971905,,
58,0.612357799,,,,,,
249,0.609781916,,,,,,
142,0.609561028,,,,,,
234,0.608506791,,,,,,
264,0.591986647,,,,,,
19,0.577326114,,,,,,
304,0.576803876,,,,,,
192,0.569873804,,,,,,
132,0.569118514,,,,0.416625101,,
104,0.566969052,,,,0.448620736,,
114,0.561397333,,,,,,
209,0.560827197,,,,,,
159,0.556309634,,,,0.461362582,,
146,0.555907768,,,,,,
83,0.552621596,,,,,,
300,0.551374894,,,,,,
301,0.550507794,,0.277276555,,,,
177,0.543866682,,,,,,
224,0.54223015,,,,,,
157,0.541374312,,,0.343812876,,,
148,0.519627561,,,,,,
303,0.514143655,,,,,,
118,0.502302401,,,,,,
63,0.496428672,,,,,,
75,0.496139848,,,,0.457103748,,
119,0.493988132,0.489829186,,,,,
239,0.486891869,,,0.269096256,,,
115,0.485557273,,,,,,
233,0.483981818,0.410763067,,,,0.336155967,
131,0.482466963,,,,0.354116814,,
280,0.478563074,,,,,,
184,0.477932917,,,,0.461738112,,
238,0.476544984,,,,,,
167,0.463094011,,0.348019304,,,,
179,0.459046073,,,,,,
79,0.455592418,,0.427946495,,,,
183,0.45516768,,,,0.356025465,,
107,0.446840922,,0.39458371,,,,
125,0.442603237,,,,,,
306,0.437102362,,,,,,
17,0.431023155,,,0.349546992,,0.273231566,
111,0.41876658,,0.361157055,,,,
312,0.401871431,,0.392507017,,,,
14,0.377059915,0.299040726,,0.301601575,,0.29748096,
214,0.369587249,,0.301579116,,,,
219,0.366103125,,0.297899834,,,,
200,0.363532351,,,,,,
105,-0.355304446,0.332998443,,0.349809473,,,
305,0.333397688,-0.261657017,,0.274926601,,,
123,0.30610386,,0.282988216,,,,0.25423969
29,0.303091975,,,,,,0.263371429
170,0.290743921,,,,,,
61,0.283570611,,,,,,
30,0.276182118,,,,,,
38,,,,,,,
67,,,,,,,
186,,,,,,,
270,,0.848469025,,,,,
92,,0.836131057,,,,,
253,,0.801004706,,,,,
174,,0.780950422,,,,,
3,,0.762011525,,,,,
307,,0.759965523,,,,,
289,,0.750516229,,,,,
198,,0.74358436,,,,,
254,0.307620396,0.743498195,,,,,
161,,0.733933159,,,,,
120,0.318204207,0.730030966,,,,,
285,,0.725592823,,,,,
297,,0.72476867,,,,,
35,0.318207883,0.72286938,-0.321846086,,,,
267,,0.717381964,,,,,
288,,0.712219693,,,,,
223,,0.708081164,,,,0.311119123,
34,,0.706201904,,,,,
199,0.253313919,0.703807704,,,,,
69,,0.701299847,,,,0.255023728,
64,,0.680394151,,,,,
293,,0.67656929,,,,,
269,0.315464511,0.673533309,,,,,
220,,0.672761081,,,,,
1,,0.667781848,,,,,
185,,0.667684154,,,,,
302,,0.666016716,,,,,
218,,0.662309855,,,,,-0.268158854
274,,0.66006022,,,,,
153,,0.658419182,,,,0.297568296,
271,,0.65707602,,,,,
299,-0.335600667,0.653238311,,,,,
237,,0.651943208,,,,,
295,,0.650777436,,,,,
40,,0.648187993,,,,,
286,,0.640552824,,,,,
126,,0.635006247,,,,,
228,,0.632851156,,,,,
20,,0.630456461,,,,,
251,,0.63028119,,,,,
309,,0.628979593,,,,,
245,,0.628126274,,,,,
207,,0.626915266,,,,,
256,,0.62606917,,,,,
49,,0.619036878,,,,,
257,,0.618326423,,,,,
62,,0.609907385,,,,,
226,-0.267322039,0.608652323,,,,,
156,,0.601293462,,,,0.396089856,
290,,0.600485024,,,,,
227,,0.596367404,,,,,
244,,0.595540561,0.277191481,,,,
221,,0.593731735,,,,,
298,,0.593127655,,,,0.283285789,
284,,0.591597392,,,,,
46,,0.586444763,,,,0.258352097,
145,,0.585193143,,,,,
77,,0.584606755,,,,,
260,-0.301282022,0.574060533,,,,,
205,,0.571508493,,,,,
147,,0.570868168,,,,,
9,,0.570100555,,,,0.278924459,
43,,0.563500062,,,,0.499565804,
292,,0.562770691,,0.297773085,,,
102,,0.557408493,,,,0.384667747,
10,,0.547931054,,,,0.48879345,
281,,0.541714954,,,,,
154,,0.54093852,,,,0.340462058,
2,,0.535730792,,,,,
13,,0.534985131,,,,0.266267705,
240,,0.520436311,,,,0.260160314,
182,,0.518304315,,,,0.42799194,
130,,0.514172172,,,,0.468896505,
74,,0.508427743,,,,0.478915586,
204,,0.493175799,,,,0.485440197,
16,0.270313422,0.49181095,,,,0.305506343,
287,0.297783572,0.49086702,,,,0.372979066,
133,-0.319313992,0.490338372,,,,,
134,,0.37509664,,,,,
4,,0.367009839,,0.340759047,,,
172,,-0.345393763,,0.324972601,,,0.303936234
128,0.266245713,0.325643455,,,,,
250,,-0.316591976,,,,,0.269605641
279,,-0.299311076,,,,,
208,,0.290988426,,,,,
262,,,0.815943006,,,,
24,,,0.789840872,,,,
110,,,0.769484957,,,,
247,,,0.748737749,,,,
81,,,0.74864384,,,,
246,,,0.739507203,,,,
25,,,0.732939662,,,,
189,,,0.730855529,,,,
53,0.263143439,,0.72139529,,,,
275,,,0.715800452,,,,
231,,,0.715381129,,,,
166,,,0.709035824,,,,
211,,,0.708766237,,,,
263,,,0.704898563,,,,
109,,,0.703271484,,,,
190,,,0.701144542,,,,
54,0.255152991,,0.688435474,,,,
212,0.290452202,,0.682124871,,,,
230,,,0.674836298,,,,
229,0.278542032,,0.663868869,,,,
138,0.266680401,,0.661770789,,,,
137,,,0.659831883,,,,
165,0.252395537,,0.659456168,,,,
82,0.403733724,,0.649858896,,,,
188,,,0.648477902,,,,
136,,,0.639957726,,,,
51,0.359725265,,0.619881964,,,,
108,,,0.608040645,,,,
294,0.34098632,,0.587983642,,,,
135,0.397534261,,0.584963767,,,,
163,0.355216576,,0.574928088,,,,
22,0.420150808,,0.574505364,,,,
80,,,0.567285994,,,,
196,,,0.566299854,,,,
52,0.281620631,,0.553422065,,,,
308,0.377656447,,0.545398351,,,,
310,0.37381716,,0.524981997,,,,
311,,,0.510551697,,,,
291,,,0.510366523,,,,
296,0.285030759,,0.49650935,,,,
210,,,0.483528585,,,,
261,0.463866893,,0.473346059,,,,
23,,,0.473288343,,,,
90,,,0.459746036,,,,
89,,,0.455615037,,,,
187,,,0.450157394,,,,
259,,,0.448208451,,0.34455992,,
164,,,0.44005425,,,,
243,,0.283017218,0.430397886,,0.338557356,,
258,,0.267280492,0.424266005,,0.357718647,,
197,0.281184453,,0.405465846,,,,
272,-0.280954895,,0.405439338,,0.384400914,,
32,,,0.402266683,,,,
252,,,0.392465832,,,,
97,0.361937973,,0.391196672,,,,
276,0.363324282,,0.379193042,,,,
117,,,0.344374293,,,,
268,0.292964672,,0.343930439,,,,
151,,,0.31488085,,,,0.26094645
59,,,0.314114174,,,,
33,,-0.255505035,0.294666824,0.266879766,,,
7,,,0.285050173,,,,
171,,,0.250200759,,,,
95,,,,,,,
124,,,,0.761358496,,,
12,,,,0.75218486,,,
181,,,,0.751541551,,,
94,,,,0.742344539,,,
45,,,,0.73880976,,,
99,,,,0.733641885,,,
101,0.282239535,,,0.72656737,,,
155,,,,0.722429375,,,
68,,,,0.717003671,,,
93,-0.261237733,,,0.706292346,,,
42,,,,0.698431464,,,
36,,,,0.689020418,,,
129,,,,0.686595028,,,
5,-0.325297725,,,0.683118954,,,
121,,,,0.667139909,,,
73,0.373296079,,,0.660915597,,,
71,0.265095694,,,0.652998803,,,
96,,,,0.651456171,,0.259702876,
178,,,,0.634837221,,0.317022998,
127,,,,0.63256882,,,
8,,,,0.6188583,,0.391123031,
149,,,,0.614033515,,,
152,,,,0.610406956,,0.346738676,
66,,,,0.594353362,,,
176,,,,0.588046493,,,
39,-0.26418991,0.304346345,,0.53597266,,,
15,0.454592311,,,0.493269715,,,
122,0.375691717,,,0.479815952,,,
222,0.365870989,,,0.472716517,,,
201,,0.366420542,,0.462816513,,0.435257184,
37,,0.431587625,,0.44152938,,0.278620475,
282,,,,0.418614588,,,
65,,,,0.403344278,,,
255,0.337316134,,,0.402461164,,,
6,,0.314445336,,0.398515967,,,
87,,,0.287538909,0.37240025,,,
44,,,,0.366742524,,-0.355181435,
194,,,,0.306303768,,,
150,,,0.250932161,0.292394586,,,
91,0.271185172,,,0.271226515,,,
88,,,,,,,
283,,,,,0.646475317,,
47,,,,,0.643276549,,
242,,,,,0.607274498,,
273,,,,,0.600504382,,
160,0.262955036,,,,0.581022196,,
103,0.421157909,,,,0.568554093,,
18,0.477192093,,,,0.542609801,,
158,,0.452393869,,,,0.518644999,
100,,0.513510801,,,,0.515172982,
72,,0.474359331,,,,0.499532417,
162,,,,,,,0.548248546
21,,,,,,,0.538672967
50,0.357406677,,,,,,0.50002058
78,,,,,,,0.471008669
31,0.268826712,,,,,,0.430118028
217,,,,,,,0.413249526
106,0.326271604,,,,,,0.376914236
60,,,,,,,0.358932175
116,,,0.274321001,0.313319012,,,0.357566787
144,,,0.295045963,,,,0.348250013
235,,-0.26859151,,0.31232663,,,0.328054345
278,0.281494861,,,,,,0.290344697
195,,,,0.256849585,,,0.277593179
