Item_No,Com_Overall_F4_Pain,Com_Overall_F5_Prog,Com_Overall_F6_PosApp,Com_Overall_F7_Soc
137,,,,
24,,,,
81,,,,
211,,,,
231,,,,
246,,,,
53,,,,
262,,,,
110,,,,
230,,,,
52,,,,
25,,,,
166,,,,
165,,,,
189,,,,
138,,,,
229,,,,
82,,,,
54,,,,
164,,,,
188,,,,
136,,,,
80,,,,
210,,,,
263,,,,
109,,,,
212,,,,
190,,,,
51,,,,
90,,,,
197,,,,-0.266884106
275,,,,
196,,,,
22,,,,
261,,,,
135,,,,
163,,,,
117,,,,
306,,,,
308,,,,
89,,,,
247,,,,
294,,,,
167,,0.253275973,,
108,,,,
23,,,,
116,,,,
239,,,,
151,,,,
33,-0.4144994,,,
312,,,,
7,,,,-0.252700836
310,,,,
38,,,,
268,,,,
87,,,,0.279942736
172,,,,
296,,,,
67,,,,
95,,,,
61,,,,
187,,,,
145,,,,
107,,,,
97,,,,
59,,,,
219,,,,
291,,,,
170,,,,0.295703419
195,-0.259707537,,,
150,,,,
111,,,,
252,,,,
123,,,,
200,,,,
88,,,,
217,,,,
265,,,,
27,,,,
216,,,,
55,,,,
56,,,0.27166218,
277,,,,
168,,,0.254606119,
266,,,,
304,,,,
236,,,,
113,,,,
249,,,0.304094132,
191,,,,
57,,,,
169,,,,
85,,,,
112,,,,
11,,,,
215,,,,
28,,,,
264,,,,
141,,,,
209,,,,
86,,,,
248,,,-0.288230404,
139,,,,
193,,,,
26,,,,
206,,0.301780264,,
192,,,0.277226442,
63,,,,
19,,,,
203,,,,
142,,,,
115,,,,
41,,,,
175,,,,
234,,,,
232,,,,
140,,,,
58,,,,
84,,,0.385483665,
301,,,,
143,,,,
98,,,,
280,,,,
118,,,,
241,,,,
70,,,,
79,,,,
180,,,,
83,,,,
214,,,,
274,0.310657495,,,
202,,,,
173,,,,
171,,,,
303,0.268319761,,,
238,,,,
305,,,,
213,-0.279007449,0.295581496,,
186,,,,
179,,,,
284,,,,
250,,,,
279,,,,
278,,,,
106,,,,
114,,,,
156,,,,
43,,,,
72,,,,
182,,,,
74,,,,
204,,,,
100,,,,
158,,,,
223,,,,
130,,,,
298,,,,
10,,,,
287,,,,
256,,,,
153,,,,
44,,,,
69,,,,
240,,,,
13,,,,
102,,,,
154,0.283501951,,,
271,0.27157277,,,
37,,,,0.304251265
233,,,,
14,,,0.347339676,
9,0.26288232,,,
201,,,,0.335431411
133,,,,
257,0.304941905,,,
244,,,,
267,0.293304898,,,
128,,,,
251,,,,
16,,,,
288,0.386564146,,,
126,,,,
134,,,,
40,0.365385053,,,
147,,,,
299,,,,
77,,,,
17,,,0.368401466,
309,,,,
178,,-0.311271133,0.305185478,0.400011081
245,,,0.257871021,
302,,,,
218,,,,
32,,,,
46,,,,
49,,,,
1,,,,
228,,,,
224,,,,
207,,,,
20,,,,
50,,,,
237,0.337730765,,,
161,,,,
146,,,,
62,0.278189543,,,
220,0.27210018,,,
125,,,,
78,,,,0.255890852
235,,,,
105,,,,
208,,,,
281,,,,
91,,,,
260,,,,
227,,,,
4,,,,
254,0.747524014,,,
199,0.730619653,,,
92,0.715874744,,,
35,0.689297376,,,
64,0.674590313,,,
174,0.660442739,,,
253,0.655027288,,,
270,0.623426786,,,
307,0.592397104,,,
3,0.575375537,,,
269,0.557502771,,,
286,0.53476473,,,
289,0.517728996,,,
311,-0.504834287,,,
120,0.503018569,,,
297,0.494099639,,,
292,0.491853137,,,0.278526429
198,0.470885875,,,
205,0.461088631,,,
285,0.427430101,,,
290,0.39561212,,,0.320753638
119,0.37239537,,,
34,0.365315582,,,
293,0.363515156,,,
221,0.346542022,,,
185,0.340246734,,,
226,0.306545235,,,
29,-0.268086382,,,
295,0.266356691,,,
2,,,,
273,,0.7492216,,
47,,0.73057127,,
283,,0.70640746,,
18,,0.662775754,,
159,,0.658370553,,
160,,0.650406037,,
242,,0.646789018,,
104,,0.611257273,,
75,,0.595437328,,
184,,0.555686527,,
258,,0.544869088,,
272,,0.527379914,,
132,,0.527209679,,
76,,0.519431647,,
243,,0.50390021,,
103,,0.495328615,,
259,,0.47642794,,
225,,0.461073966,,
48,,0.446217748,0.263129116,
131,,0.440425522,,
183,,0.338238387,,
148,,0.33236931,,
300,-0.259261268,0.290963912,,
276,,,,
101,,,0.732988752,
12,,,0.678235618,
99,0.274748217,,0.663368991,
71,,,0.64337404,
181,,,0.639900947,
45,,,0.637134391,
127,,,0.635375579,
73,,,0.60288592,
155,,0.264287834,0.565046687,0.251342734
42,0.3366388,,0.547245968,
129,,,0.501564911,
15,,,0.465440011,
157,,,0.454891615,
282,,,0.442322558,
194,,,0.42860474,
39,,,0.33268556,0.303620477
144,,,0.254599428,
60,,,,
177,,,,
31,,,,
36,,,,0.831832411
5,,,,0.78837761
121,,,,0.66850481
93,,,,0.650991657
176,,,,0.645334312
149,,,,0.567443729
66,,0.293276268,,0.510110387
68,,,0.328680106,0.509434884
94,,,0.281604243,0.496398562
6,,,,0.493597215
152,,-0.319710921,0.266117021,0.491599312
96,,,0.388483471,0.476307863
8,,-0.314075878,0.259534236,0.473172373
122,,,,0.470090763
124,,,0.374442974,0.435469175
222,,,,0.371888131
255,,,,0.358656287
21,,,,0.332507609
30,,,,0.323973507
65,,,,0.273641719
162,,,,0.252057255
