Item_No,Com_Pos_F1_Cog,Com_Pos_F2_Pride,Com_Pos_F3_Phys,Com_Pos_F4_Flow,Com_Pos_F5_RelNeg,Com_Pos_F6_MeTime_Prelim,Com_Pos_F7_Flow_Prelim
262,0.978002061,,,,,,
24,0.935088786,,,,,,
211,0.859577262,,,,,,
81,0.858147133,,,,,,
25,0.85390395,,,,,,
189,0.836933448,,,,,,-0.29106935
231,0.834952005,,,,,,
263,0.832981511,,,,,,
54,0.82794676,,,,,,
110,0.822407728,,,,,,
137,0.813264944,,,,,,
246,0.809792011,,,,,,
53,0.757106595,,,,,,
138,0.754500614,,,,,,
230,0.750720921,,,,,,
247,0.746330377,,,,,,
229,0.741190379,,,,,,
109,0.72363829,,,,,,
82,0.720888911,,,,,,
275,0.717845016,,,,,,
80,0.708821748,,,,-0.250045553,,
166,0.67908251,,,,,,
165,0.667391513,,,,,,
52,0.651132461,,,,,,
212,0.632389546,,,,,,
190,0.594340994,,,,,,
164,0.584023337,,,,,,
210,0.549370325,,,,,,
163,0.529290034,,,,,,
136,0.527058531,,,,,,
188,0.50333355,,,0.265904224,,,-0.363923443
239,0.434633217,,,,,,
51,0.405442681,,,,0.308026974,,
296,0.391049228,,,,,,
167,0.375541023,,,,,,
135,0.356327529,0.30490911,,,,,
22,0.34019245,,,,,,
291,0.316649665,,,,,,
107,0.31328854,,,,,,
38,0.25637824,,,,,,
57,,0.786112129,,,,,
236,,0.773650357,,,,,
141,,0.768766593,,,,,
28,,0.726040368,,,,,
41,,0.707897138,,,,,
11,,0.701324814,,,,,
215,,0.698975633,,,,,
203,,0.685628001,,,,,
193,,0.648300939,,,,,
180,,0.644560648,,,,,
173,,0.640076572,,,,,
169,,0.631809604,,,,,
98,,0.627492494,,,,,
241,,0.609649469,,,,,
85,,0.593040423,,,,,
113,,0.547160495,,,,,
19,,0.543029564,,,,,
143,,0.526497546,,,,,
70,,0.513726245,,,,,
248,,0.508321744,,,,,
118,,0.492473148,,,,,
191,,0.427003478,0.288179535,,,,
306,0.317588269,0.390810688,,,,,
179,,0.384912599,,,,,
202,,0.373938521,,,,,
115,,0.35110872,,,,,
303,,0.345674797,,,,,
175,,0.326584514,,0.260402021,,,
209,,0.295134687,,,,,
187,,0.29482749,,,,,
186,-0.284733551,0.288841488,,,,,
284,,,,,,,
249,,,0.907655971,,,,
277,,,0.813565736,,,,
265,,,0.81286311,,,,
112,,,0.786005575,,,,
168,,,0.772025019,,,,
27,,,0.664800737,,,,
216,,,0.617984501,,,,
56,,0.258716325,0.617977097,,,,
142,,,0.616540123,,,,
84,,,0.576574902,,,,
55,,0.255045242,0.51649925,,,,
26,0.279179849,,0.505166326,,,,
140,,,0.498335968,,,,
58,,,0.49654919,,,,
232,,,0.452516098,,,,0.352675263
266,,,0.441785424,,,,
192,,0.293128262,0.41809107,,,,
139,,,0.412642284,,,,
214,0.279240415,,0.40543957,,,,
206,,0.286788032,0.405092755,,,,
304,,0.334990066,0.37092744,,,,
111,,,0.360189761,,,,
106,,,0.357549625,,,0.255478322,
83,,,0.340055922,,,,
264,,0.314328472,0.334620936,,,,0.288365858
63,,,0.331777603,0.291257096,,,
301,,,0.28889892,,,,
213,,,0.260201046,,,,
61,,,,0.663419223,,,
117,,,,0.648611802,,,
172,,,,0.642321742,,,
116,,-0.309064713,,0.622219679,,,
278,,,,0.575981308,,,
305,,,,0.571097711,,,
88,,,,0.563306635,,,
279,,,,0.547145341,,,
252,,,,0.511530619,0.319874276,,
250,,,,0.509553759,,,
280,,,,0.498620993,0.310313008,,
145,,,,-0.483898688,,,
33,0.39421017,,,0.470959709,,,
195,,,,0.469353575,,,
238,,0.26502846,,0.443138485,,,
197,,,,0.440336502,,,-0.345644742
90,0.281430374,,,0.437402693,,,
268,,,,0.430417946,,,
170,,,,0.416218396,,,
87,0.251587445,,,0.407628859,,,
114,,,,0.403967646,,,
217,,,,0.403080209,,,
108,,,,0.396663594,0.372788175,,
89,,,,0.386099525,,,
97,,0.299785081,,0.368500114,,,
312,,,,0.352544473,,,
59,,,,0.345567164,,,
219,0.252568644,,,0.331425443,,,
23,0.312573216,,,0.316108153,,,
171,,,,0.309379806,,,
308,,,,,0.492487707,0.275647145,
79,,,,,0.476399137,,
310,,,,,0.469420689,,
274,,,,,-0.46310865,,
294,0.305723913,,,,0.451710355,,
261,0.382852711,,,,0.38473925,,
196,0.296927568,,,,0.323939024,0.253483588,
151,,,,,,0.49429124,
67,,,,,,0.468027567,
123,,,,,,0.450708027,
95,,,,,,0.439234771,
7,,,,,,0.438157714,
234,,0.264556916,0.311387331,,,,0.438087735
86,,,0.378412882,,,,0.409226677
150,0.287399741,,,,,,-0.366954061
200,,,,,,,-0.254435772
