Item_No,MTurk_Neg_F1_NegApp,MTurk_Neg_F2_NegHealth,MTurk_Neg_F3_Pain,MTurk_Neg_F4_Time,MTurk_Neg_F5_Pain,MTurk_Neg_F6_NegApp
43,0.876686583,,,,,
204,0.818206134,,,,,
10,0.813340589,,,,,
74,0.801541935,,,,,
182,0.750299304,,,,,
156,0.730023336,,,,,
130,0.71998481,,,,,
102,0.714661857,,,,,
13,0.655348975,,,,,-0.315902448
46,0.613393507,,,,,-0.315955161
287,0.605143154,,,,,
16,0.568602203,,0.300489069,,,
223,0.566262991,,,,,
153,0.529816664,,,,,
154,0.525562093,,,,,
256,0.449535073,,,,,
298,0.435609365,,,,,0.376044742
69,0.419391568,,,,,0.337207154
240,0.394091577,,,,,0.280978255
9,0.334102164,,,,,
220,0.298073646,,,,,
226,,0.76008925,,,,
292,,0.7051894,,,,
284,,0.659159081,,,,
299,,0.54859956,,,,
205,,0.541627205,,,0.322805023,
286,,0.534048499,,,,
244,,0.494813785,,0.412013095,,
289,,0.485098674,,,,
295,,0.483725979,,,,
290,,0.469007152,,,,
274,,0.465572943,,,,
260,,0.463080287,,0.45171076,,
126,,0.436836947,,,,
133,,0.428148592,,0.256007242,,
62,,0.345949657,,,,
251,0.275658509,0.341743038,,,,0.311018296
281,,0.304218589,,,,0.293640504
254,,,0.784804871,,,
64,,,0.769089984,,,
199,,,0.751365363,,,
120,,,0.700353499,,,
35,,,0.675353814,,,
285,,,0.644924061,,,0.253305532
297,,0.272127696,0.504049327,,,
92,,,0.486278263,,0.336071556,
174,,,0.486190822,,,
221,,,0.468508745,,,
307,,,0.451752714,,,
269,,,0.401642573,,,
198,,,0.285291693,,0.267507839,
20,,,,0.880915881,,
49,,,,0.840357155,,
227,,,,0.76553521,,
207,,,,0.762999228,,
77,,0.301627477,,0.576243035,,
228,,,,0.56762568,,
145,,,,0.526312678,,0.281209363
245,,0.287870703,,0.512643702,,
185,,,,0.501691983,,
161,,,,0.469360812,,
218,,,,0.462476952,0.259704843,
302,,,,0.364218301,,0.349025081
2,,,,0.334157041,0.262029975,
3,,,,,0.691327995,
253,,0.27583867,,,0.640275248,
34,,,,,0.511086707,
270,,0.373878329,0.310289314,,0.499779887,
237,,,,,0.447759371,0.265653824
1,,,,0.318296858,0.347774669,
147,,,,,0.251094646,
288,,,,,,0.541894062
309,0.281441467,0.296556544,,,,0.528131182
271,,0.349488347,,,,0.505335482
257,,,,,,0.47390542
293,,,,,,0.473017553
267,0.288243351,,,,,0.36085821
40,,,,,,0.357091993
